Accession,Teo_Plot,Race,Species,Altitude,Latitude,Longitude,Country,State,County,location,Collection_date
JSG_RMM_LCL_487,707,Balsas,Zea mays ssp. parviglumis,590,16.9819,99.2831,México,Guerrero,Tecoanapa,Crucero_Lagunitas_Los_Saucitos_Tecoanapa,2003
JSG_RMM_LCL_568,708,Balsas,Zea mays ssp. parviglumis,300,17.1719,99.5439,México,Guerrero,Juan_R._Escudero,Tierra_Colorada,2005
JSG_RMM_LCL_546,709,Balsas,Zea mays ssp. parviglumis,552,19.7039,104.8189,México,Jalisco,Villa_Purificación,Los_Cimientos,2003
JSG_RMM_LCL_548,710,Balsas,Zea mays ssp. parviglumis,635,19.7719,104.8431,México,Jalisco,Villa_Purificación,La_Cofradía_(2km_al_E),2003
JSG_LCL_672,715,Balsas,Zea mays ssp. parviglumis,834,18.61,100.2719,México,México,Tlatlaya,Las_Parotas-San_Francisco_de_Asís,2007
JSG_LCL_674,718,Balsas,Zea mays ssp. parviglumis,1008,18.6411,100.3569,México,México,Amatepec,Huixtitla,2007
JSG_RMM_558,719,Balsas,Zea mays ssp. parviglumis,1170,19.3439,101.9439,México,Michoacán,Taretan,Col_Emiliano_Zapata_La_Perimera,2003
JSG_RMM_LCL_511,720,Balsas,Zea mays ssp. parviglumis,1110,18.3881,100.1281,México,Guerrero,General_Canuto_A._Neri,Crucero_Amates_Grandes_K100_Carr_52,2003
JSG_RMM_LCL_523,721,Balsas,Zea mays ssp. parviglumis,958,18.8419,100.2381,México,México,Tejupilco,El_Salitre-Plaza_de_Gallos_(Km_118-119_Toluca-Altamirano),2003
JACV_T_082,722,Balsas,Zea mays ssp. parviglumis,1219,19.1461,101.43,México,Michoacán,Tacámbaro,Ojo_de_Agua_de_Chupio-Chupio,2007
JSG_Y_RMM_458,723,Balsas,Zea mays ssp. parviglumis,635,18.805,100.9461,México,Michoacán,Huetamo,Quenchendio_(km_151.5_Zitácuaro-Huetamo),2002
JSG_Y_RMM_457,724,Balsas,Zea mays ssp. parviglumis,654,18.82,100.9161,México,Michoacán,Huetamo,El_Potrero_(km_145.5_Carr._51_Zitácuaro-Huetamo),2002
RMM_3,725,Balsas,Zea mays ssp. parviglumis,984,19.945,103.995,México,Jalisco,Ejutla,San_Lorenzo,2002
JSG_RMM_LCL_517,726,Balsas,Zea mays ssp. parviglumis,870,18.9631,101.0581,México,Michoacán,Carácuaro,Puerto_de_la_Cruz,2003
JLHNM_664,727,Balsas,Zea mays ssp. parviglumis,1524,18.5,99.9089,México,Guerrero,Pedro_Ascencio_Alquisiras,K2_Llano_de_la_Merced_Ixcapaneca,2007
JLNCM_649,728,Balsas,Zea mays ssp. parviglumis,1020,17.4539,99.21,México,Guerrero,Quechultenango,Vista_Hermosa_Colotlipa_Barranca_La_Cañada,2007
JLNCM_654,729,Balsas,Zea mays ssp. parviglumis,740,17.2869,99.4831,México,Guerrero,Chilpancingo_de_los_Bravo,El_Rincón_de_la_Vía,2007
JLNCM_657,730,Balsas,Zea mays ssp. parviglumis,1150,17.3969,99.4369,México,Guerrero,Mochitlán,El_Salado_Amate_Amarillo,2007
JSG_Y_LOS_142,731,Balsas,Zea mays ssp. parviglumis,1460,19.2931,103.0811,México,Jalisco,Jilotlán_de_los_Dolores,El_Saucito,1984
JSG_RMM_LCL_486,734,Balsas,Zea mays ssp. parviglumis,982,16.3489,97.0211,México,Oaxaca,San_Jerónimo_Coatlán,El_Rodeo_ca_Rio_Atoyac,2003
JSG_RMM_LCL_483,735,Balsas,Zea mays ssp. parviglumis,1272,16.3239,97.0331,México,Oaxaca,San_Jerónimo_Coatlán,San_Cristobal_Honduras_,2003
JSG_LCL_676,736,Balsas,Zea mays ssp. parviglumis,1345,19.1789,100.255,México,México,Santo_Tomás,Santo_Tomás_de_los_Plátanos,2007
JACV_T_049,737,Balsas,Zea mays ssp. parviglumis,684,19.4431,100.9019,México,Michoacán,Tzitzio,3_km_N_de_Tafetan,2007
JSG_RMM_LCL_534,738,Balsas,Zea mays ssp. parviglumis,1178,19.1481,100.355,México,México,Otzoloapan,K8_Zuluapan_Tingambato_El_Quinto,2003
JSG_RMM_LCL_514,739,Balsas,Zea mays ssp. parviglumis,832,19.0631,101.2831,México,Michoacán,Nocupétaro,K80_C_MICH_9_Huetamo_Villa_Madero,2003
JLNCM_643,740,Balsas,Zea mays ssp. parviglumis,1183,18.2531,99.2339,México,Guerrero,Huitzuco_de_los_Figueroa,Plan_de_los_Timbres_ca_Paso_Morelos,2007
JSG_LCL_554,741,Balsas,Zea mays ssp. mexicana,1103,19.4411,103.9839,México,Colima,Minatitlán,El_Sauz_Km_2_a_El_Terrero,2003
JSG_RMM_LCL_474,742,Balsas,Zea mays ssp. mexicana,1654,18.975,99.03,México,Morelos,Tepoztlán,Amatlán_de_Quetzalcóatl_La_Puerta,2003
JSG_RMM_LCL_524,743,Balsas,Zea mays ssp. parviglumis,1422,18.8989,100.1811,México,México,Tejupilco,Km_106_Toluca-Altamirano_(desde_crucero_Las_Mesas),2003
JSG_RMM_LCL_539,744,Balsas,Zea mays ssp. parviglumis,1342,19.5511,100.9181,México,Michoacán,Tzitzio,Queretanillo_(km_24_Temascal-Huetamo),2003
RMM_11,745,Balsas,Zea mays ssp. parviglumis,1450,19.5281,104.0639,México,Jalisco,Tolimán,La_Lima,2003
DMA_2008_1,746,Balsas,Zea mays ssp. parviglumis,1400,18.6719,98.8311,México,Morelos,Jonacatepec,Cerro_Nananchi_(ca._Atotonilco),2008
JLNCM_646,749,Balsas,Zea mays ssp. parviglumis,1580,17.76,98.7739,México,Guerrero,Olinalá,Vista_Hermosa_La_Lobera_,2007
JLHNM_661,750,Balsas,Zea mays ssp. parviglumis,1746,18.4169,99.9681,México,Guerrero,Teloloapan,Zacatlancillo_K80_Carr_51_cerro_El_Chivo,2007
JSG_LCL_JRP_702,751,Balsas,Zea mays ssp. parviglumis,1153,20.7861,104.5431,México,Jalisco,Guachinango,Camino_Carboneras-El_Tablillo,2008
JSG_LCL_704,752,Balsas,Zea mays ssp. parviglumis,1442,20.6261,104.4181,México,Jalisco,Guachinango,K8_Gauchinango_La_Ciénega,2009
JSG_467,753,Balsas,Zea mays ssp. parviglumis,1139,20.6111,104.2261,México,Jalisco,Ameca,Quexpan-Las_Raíces,2002
JSG_RMM_LCL_495,754,Balsas,Zea mays ssp. parviglumis,1890,18.505,99.7839,México,Guerrero,Ixcateopan_de_Cuauhtémoc,Ixcateopan_salida_a_Taxco,2003
JSG_RMM_LCL_473,759,Balsas,Zea mays ssp. parviglumis,1901,18.9531,99.5031,México,México,Malinalco,Ruinas_de_Malinalco,2003
JSG_437,764,Chalco,Zea mays ssp. mexicana,2475,19.0861,98.4889,México,Puebla,San_Nicolás_de_los_Ranchos,San_Nicolás_de_Los_Ranchos_Cañada_Grande,2002
JSG_JMHC_626,765,Chalco,Zea mays ssp. mexicana,2388,19.1711,97.5569,México,Puebla,San_Nicolás_Buenos_Aires,San_Nicolás_Buenos_Aires,2007
JSG_JMHC_629,766,Chalco,Zea mays ssp. mexicana,2670,19.0739,97.4311,México,Puebla,Tlachichuca,San_Francisco_Independencia,2007
JSG_RMM_LCL_471,767,Chalco,Zea mays ssp. mexicana,2595,19.2031,99.5661,México,México,Chapultepec,Chapultepec,2003
CIM27215,768,Chalco,Zea mays ssp. mexicana,2280,19.53,98.8431,México,México,Texcoco,La_Purificación,2007
JSG_JMHC_614,769,Chalco,Zea mays ssp. mexicana,2592,19.2581,99.4669,México,México,Ocoyoacac,El_Pedregal,2007
JSG_JMHC_637,770,Chalco,Zea mays ssp. mexicana,2470,19.155,98.775,México,México,Tlalmanalco,San_Antonio_Tlaltecahuacan,2007
JSG_JMHC_639,771,Chalco,Zea mays ssp. mexicana,2254,19.495,98.9211,México,México,Texcoco,San_Martín_Netzahualcoyotl_(Boyeros),2007
JSG_Y_RMM_463,772,Chalco,Zea mays ssp. mexicana,2225,19.4219,101.61,México,Michoacán,Salvador_Escalante,Opopeo,2002
JSG_LCL_559,773,Chalco,Zea mays ssp. mexicana,2410,19.6811,101.7361,México,Michoacán,Erongarícuaro,Lázaro_Cárdenas,2004
JSG_JMHC_631,774,Chalco,Zea mays ssp. mexicana,2311,19.16,98.1861,México,Tlaxcala,Tenancingo,Tenancingo_(km_11_Puebla_Tlaxcala),2007
CIM11362,781,Chalco,Zea mays ssp. mexicana,2200,19.275,99.1,México,Distrito_Federal,Xochimilco,Xochimilco,1968
CIM11400,782,Chalco,Zea mays ssp. mexicana,2200,19.35,98.98,México,México,La_Paz,Los_Reyes_la_Paz,1992
JSG_RMM_LCL_476,783,Chalco,Zea mays ssp. mexicana,2480,19.0819,98.7761,México,México,Amecameca,San_Antonio_Zoyatzingo,2003
JSG_RMM_LCL_480,784,Chalco,Zea mays ssp. mexicana,2280,19.2181,98.8689,México,México,Cocotitlán,Km_1_Cocotitlán-Juchitepec,2003
JSG_JMHC_634,785,Chalco,Zea mays ssp. mexicana,2485,19.0789,98.845,México,México,Juchitepec,San_Matías_Cuijingo,2007
JSG_Y_RMM_429,787,Durango,Zea mays ssp. mexicana,1875,24.085,104.4861,México,Durango,Durango,Francisco_Villa_Nuevo_3K_E,2002
JSG_SRV_EAM_705,788,Durango,Zea mays ssp. mexicana,1870,24.0419,104.28,México,Durango,Nombre_de_Dios,Potrero_El_Tepalcate_al_N_de_San_José_de_Tuitán,2009
JSG_SRV_EAM_708,789,Durango,Zea mays ssp. mexicana,1860,24.0239,104.3,México,Durango,Nombre_de_Dios,Calabacillas-Potrero_Michoacanes-Tuitán,2009
G1,711,Guatemala,Zea luxurians,878,14.2469,89.875,Guatemala,Jutiapa,Jutiapa,Las_Majadas_Rancho_de_Los_López,2004
G3,712,Guatemala,Zea luxurians,895,14.5261,89.6619,Guatemala,Jutiapa,Agua_Blanca,Km_162_Agua_Blanca_Ipala_Agua_Blanca,2004
G6,713,Guatemala,Zea luxurians,982,14.5381,89.89,Guatemala,Jalapa,Monjas,Finca_Carlos_Orellana_Pinto,2004
G7,714,Guatemala,Zea luxurians,1037,14.53,89.825,Guatemala,Jalapa,San_Manuel_Chaparrón,Aldea_Damian,2004
CIM9479,704,Huehuetenango,Zea mays ssp. huehuetenangensis,1300,15.6669,91.75,Guatemala,Huehuetenango,Jacaltenango,km_1.5-2.5_S.A._Huista-Jacaltenango,1976
H1,705,Huehuetenango,Zea mays ssp. huehuetenangensis,1225,15.6731,91.7919,Guatemala,Huehuetenango,San_Antonio_Huista,El_Tablón_San_José_del_Tablón,2004
H2,706,Huehuetenango,Zea mays ssp. huehuetenangensis,1025,15.6919,91.8181,Guatemala,Huehuetenango,Santa_Ana_Huista,Monajil-Buxup,2004
CIM11365,755,Mesa_Central,Zea mays ssp. mexicana,1710,20.7269,101.9489,México,Guanajuato,Manuel_Doblado,Ciudad_Manuel_Doblado,1969
JSG_Y_RMM_447,756,Mesa_Central,Zea mays ssp. mexicana,1880,20.1689,101.1561,México,Guanajuato,Uriangato,Uriangato_(salida_a_Yuriria_Carr._43),2002
JSG_Y_RMM_450,757,Mesa_Central,Zea mays ssp. mexicana,1855,19.8911,101.1789,México,Michoacán,Copándaro,San_Agustín_del_Maíz,2002
JSG_465,758,Mesa_Central,Zea mays ssp. mexicana,1597,20.4211,102.3469,México,Jalisco,Ayotlán,San_Jerónimo_(Cerro_Grande),2002
JSG_RMM_LCL_536,760,Mesa_Central,Zea mays ssp. mexicana,2102,19.6861,100.6331,México,Michoacán,Hidalgo,K152_Cd_Hidalgo_Morelia_San_Lucas_y_El_Porvenir,2003
JSG_LCL_565,761,Mesa_Central,Zea mays ssp. mexicana,1848,19.9561,101.3169,México,Michoacán,Chucándiro,San_Cristobal_K0.5_a_Chucándiro,2004
JSG_LCL_JGRF_586,762,Mesa_Central,Zea mays ssp. mexicana,2023,20.14,101.0731,México,Guanajuato,Yuriria,El_Salteador_K9.5_a_El_Timbinal,2005
JSG_427,763,Mesa_Central,Zea mays ssp. parviglumis,1574,20.1531,102.3639,México,Michoacán,Ixtlán,El_Salitre,2002
JSG_Y_RMM_438,775,Mesa_Central,Zea mays ssp. mexicana,1910,20.075,102.06,México,Michoacán,Churintzio,Changuitiro_1km_a_Purépero,2002
JSG_Y_RMM_440,776,Mesa_Central,Zea mays ssp. mexicana,1775,20.1031,101.9469,México,Michoacán,Penjamillo,Penjamillo_de_Degollado_(Carr._MICH_27),2002
JSG_Y_RMM_444,777,Mesa_Central,Zea mays ssp. mexicana,2186,20.035,101.4689,México,Michoacán,Puruándiro,Batuecas_K1_a_Cuitzeo_Carr_MICH_28,2002
JSG_426,778,Mesa_Central,Zea mays ssp. mexicana,1940,20.1569,102.06,México,Michoacán,Churintzio,Cerro_Churintzio,2002
JSG_LCL_566,779,Mesa_Central,Zea mays ssp. mexicana,2055,20.0769,101.9761,México,Michoacán,Churintzio,Km_334.5_Carr._15D_Autopista_Morelia-Guadalajara,2004
JACV_T_018,780,Mesa_Central,Zea mays ssp. mexicana,2012,19.9269,101.7169,México,Michoacán,Jiménez,Villa_Jiménez-La_Estancia,2007
JSG_LCL_689,786,Mesa_Central,Zea mays ssp. mexicana,1550,20.4031,102.9039,México,Jalisco,Zapotlán_del_Rey,Km_2_Poncitlán-Ahuatlán,2007
JSG_Y_LOS_75,790,Mesa_Central,Zea mays ssp. mexicana,1700,20.1139,102.8961,México,Michoacán,Cojumatlán_de_Régules,5_7_km_SW_Cojumatlán,1984
JSG_SRV_604,794,Nabogame,Zea mays ssp. mexicana,1920,26.2281,106.9619,México,Chihuahua,Guadalupe_y_Calvo,Arroyo_Tejamanil_ca_La_Rinconada,2007
JSG_SRV_606,795,Nabogame,Zea mays ssp. mexicana,1951,26.2231,106.9319,México,Chihuahua,Guadalupe_y_Calvo,Tarahumares,2007
JSG_RMM_LCL_551,732,Zea_diploperennis,Zea diploperennis,1870,19.5911,104.2781,México,Jalisco,Cuautitlán_de_García_Barragán,Las_Joyas_Las_Playas,2003
CIM10003,733,Zea_diploperennis,Zea diploperennis,2250,19.5331,104.2169,México,Jalisco,Cuautitlán_de_García_Barragán,San_Miguel_Cuzalapa,1978
JLVTKV_717,791,Zea_diploperennis-Na,Zea diploperennis,1410,22.8511,105.1219,México,Nayarit,Huajicori,SA_Milpillas_El_Rincón_Arroyo_Charco_Verde,2010
JLVTKV_719,792,Zea_diploperennis-Na,Zea diploperennis,1392,22.8569,105.1069,México,Nayarit,Huajicori,SA_Milpillas_Tateposco_Arroyo_La_Mesa,2010
JLVTKV_720,793,Zea_diploperennis-Na,Zea diploperennis,1393,22.87,105.105,México,Nayarit,Huajicori,SA_Milpillas_La_Embocada_Arroyo_San_Andrés,2010
JSG_593,701,Zea_luxurians-SFU,Zea luxurians,83,17.9439,96.4619,México,Oaxaca,San_Felipe_Usila,Arroyo_Tambor,2006
FAC_P_87,702,Zea_luxurians-SFU,Zea luxurians,80,17.935,96.4681,México,Oaxaca,San_Felipe_Usila,Arroyo_Tambor,2007
CIM13451,703,Zea_nicaraguensis,Zea nicaraguensis,15,12.8739,86.9139,México,Chinandega,Villanueva,5.3_km_E_Apacunca_(3km_S_Cayanlipe)_,1993
JSG_LCL_694,747,Zea_perennis,Zea perennis,2140,19.635,103.58,México,Jalisco,San_Gabriel,Piedra_Ancha,2008
JSG_LCL_695,748,Zea_perennis,Zea perennis,2174,19.635,103.5669,México,Jalisco,Zapotlán_el_Grande,Loma_de_La_Mesa,2008
CIM29379,716,Zea_perennis-Ur,Zea perennis,1380,19.4181,101.9111,México,Michoacán,Ziracuaretiro,El_Fresno,2009
JSG_LCL_JRP_MMR_712,717,Zea_perennis-Ur,Zea perennis,1385,19.4169,101.9381,México,Michoacán,Ziracuaretiro,El_Fresno-Autopista_Morelia-Uruapan_Km379,2010